Date,AAPL,MSFT,JPM
2015-06-01,29.236621856689453,50.2159423828125,40.952693939208984
2015-06-02,29.10672378540039,50.17036056518555,40.68389129638672
2015-06-03,29.142559051513672,50.687095642089844,40.62317657470703
2015-06-04,28.972347259521484,50.40594482421875,40.19832229614258
2015-06-05,28.813335418701172,51.2342529296875,40.00755310058594
2015-06-08,28.622961044311523,50.83148193359375,39.65205383300781
2015-06-09,28.537851333618164,51.0518684387207,39.582679748535156
2015-06-10,28.864850997924805,51.87258529663086,40.41508865356445
2015-06-11,28.799898147583008,52.070159912109375,40.26769256591797
2015-06-12,28.48187255859375,51.864994049072266,39.86016845703125
2015-06-15,28.42587661743164,51.66740417480469,39.43528366088867
2015-06-16,28.578166961669922,51.9561882019043,39.738765716552734
2015-06-17,28.51097869873047,51.78139877319336,39.86016845703125
2015-06-18,28.640878677368164,52.26774978637695,40.51045227050781
2015-06-19,28.354198455810547,51.735809326171875,39.972877502441406
2015-06-22,28.580408096313477,52.40453338623047,40.085594177246094
2015-06-23,28.45050621032715,53.00487518310547,39.808128356933594
2015-06-24,28.6923885345459,52.45012283325195,39.57400131225586
2015-06-25,28.555768966674805,52.16895294189453,39.582679748535156
2015-06-26,28.38779640197754,52.396934509277344,39.2445182800293
2015-06-29,27.890588760375977,51.06706619262695,38.472808837890625
2015-06-30,28.092159271240234,51.49262619018555,38.28205108642578
2015-07-01,28.354198455810547,52.0662956237793,38.54218673706055
2015-07-02,28.31837272644043,51.64561462402344,38.49882888793945
2015-07-06,28.219823837280273,51.50027847290039,38.49014663696289
2015-07-07,28.150392532348633,51.09488296508789,38.4121208190918
2015-07-08,27.451614379882812,50.046974182128906,38.360084533691406
2015-07-09,26.891691207885742,50.567115783691406,38.60287094116211
2015-07-10,27.610637664794922,51.28610610961914,38.68092727661133
2015-07-13,28.143672943115234,52.08158874511719,39.4873046875
2015-07-14,28.132469177246094,52.80824279785156,39.556671142578125
2015-07-15,28.40346908569336,52.9229736328125,39.678077697753906
2015-07-16,28.781972885131836,53.20598220825195,40.45845031738281
2015-07-17,29.030574798583984,52.938270568847656,40.423770904541016
2015-07-20,29.579307556152344,52.97651290893555,40.68389129638672
2015-07-21,29.283660888671875,52.85414123535156,40.99604797363281
2015-07-22,28.045127868652344,53.603729248046875,39.4873046875
2015-07-23,28.031692504882812,53.26716613769531,39.98154067993164
2015-07-24,27.883867263793945,52.70880889892578,39.834129333496094
2015-07-27,27.49641227722168,52.02040481567383,39.32255554199219
2015-07-28,27.63302993774414,52.050994873046875,39.31389617919922
2015-07-29,27.54568099975586,52.73175048828125,40.137630462646484
2015-07-30,27.40682601928711,52.80824279785156,40.649208068847656
2015-07-31,27.167173385620117,52.418148040771484,40.49312973022461
2015-08-03,26.526630401611328,52.418148040771484,40.58851623535156
2015-08-04,25.675561904907227,52.36459732055664,41.22148895263672
2015-08-05,25.84577751159668,52.571136474609375,41.25617218017578
2015-08-06,25.902013778686523,52.203975677490234,40.423770904541016
2015-08-07,25.989761352539062,52.050994873046875,40.52781295776367
2015-08-10,26.93467903137207,52.69349670410156,41.03940200805664
2015-08-11,25.533052444458008,52.18868637084961,40.24168014526367
2015-08-12,25.926773071289062,51.43143081665039,40.52781295776367
2015-08-13,25.90651512145996,51.66854476928711,40.5191535949707
2015-08-14,26.088748931884766,51.92863845825195,40.75325393676758
2015-08-17,26.35872459411621,52.0662956237793,41.030723571777344
2015-08-18,26.21024513244629,52.173377990722656,41.25765609741211
2015-08-19,25.875019073486328,51.706790924072266,40.68159484863281
2015-08-20,25.34406852722168,50.437076568603516,39.85243225097656
2015-08-21,23.79395294189453,48.647220611572266,37.59185791015625
2015-08-24,23.19999885559082,46.08481979370117,36.378662109375
2015-08-25,23.33948516845703,45.824771881103516,35.322566986083984
2015-08-26,24.67812156677246,48.11944580078125,37.277652740478516
2015-08-27,25.404804229736328,49.320316314697266,38.3162956237793
2015-08-28,25.488054275512695,49.05261993408203,38.34248352050781
2015-08-31,25.368812561035156,49.0296630859375,37.98462677001953
2015-09-01,24.234909057617188,47.00270080566406,36.50084686279297
2015-09-02,25.274320602416992,47.859378814697266,37.84497833251953
2015-09-03,24.831117630004883,47.94351577758789,37.9671745300293
2015-09-04,24.583629608154297,47.04093551635742,37.19036865234375
